ENSCINP00000034604	ENSCING00000018054	ciona_intestinalis
ENSNPEP00000002207	ENSNPEG00000001702	nothoprocta_perdicaria
ENSARWP00000010188	ENSARWG00000007090	apteryx_rowi
ENSARWP00000010189	ENSARWG00000007093	apteryx_rowi
ENSAHAP00000026087	ENSAHAG00000018186	apteryx_haastii
ENSAHAP00000026084	ENSAHAG00000018183	apteryx_haastii
ENSAOWP00000009486	ENSAOWG00000006514	apteryx_owenii
ENSAOWP00000009465	ENSAOWG00000006499	apteryx_owenii
ENSDNVP00000011798	ENSDNVG00000008314	dromaius_novaehollandiae
ENSSCUP00000016032	ENSSCUG00000011799	struthio_camelus_australis
ENSSHBP00005000031	ENSSHBG00005000038	strigops_habroptila
ENSLLEP00000011775	ENSLLEG00000007503	leptobrachium_leishanense
ENSLLEP00000011962	ENSLLEG00000007612	leptobrachium_leishanense
ENSXETP00000086170	ENSXETG00000015826	xenopus_tropicalis
ENSCMIP00000047461	ENSCMIG00000019371	callorhinchus_milii
